Target,Function Target,Number of Alpha Carbons in Target,Reference,Function Reference,Number of Alpha Carbons in Reference,Distance
8PBR,,886,7XQL,TOXIN,370,1.9808345159007787
6SLW,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,245,1.98084194382677
7PV5,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,159,1.980928423078064
7CIU,,168,1YZG,TRANSPORT PROTEIN,415,1.9809725215605087
6T2T,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,254,1.9811953688033543
6O5Z,,249,7ULF,LIGASE,531,1.9812394515672456
7PWT,,106,1O43,SIGNALING PROTEIN,237,1.9812476904378864
6XRO,,457,7G8E,CYTOSOLIC PROTEIN,188,1.981358425722189
7OXU,,621,4ZI2,HYDROLASE,249,1.98156100043726
6HXV,,743,4TMX,TRANSLATION,333,1.981602682703268
8CK5,,621,4ZI2,HYDROLASE,251,1.9819262853085733
7XVX,,161,4L9S,SIGNALING PROTEIN,366,1.9820049346198425
7E1T,,161,4L9S,SIGNALING PROTEIN,403,1.982192695495508
3N9P,,1006,6S8L,STRUCTURAL PROTEIN,501,1.982533230778788
8DHH,,804,6D5M,SIGNALING PROTEIN,367,1.982558503883297
7TGQ,,424,4RJL,TRANSLATION,182,1.982603002854608
4JND,,180,2GCN,SIGNALING PROTEIN,412,1.983114475834832
7KVX,,441,8DGO,SIGNALING PROTEIN,181,1.983249070177376
7JL7,,1035,6ZWB,CELL CYCLE,479,1.983395580586948
8C69,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,500,1.9834177455984772
6PKH,,741,6HTW,TRANSLATION,312,1.983487977088848
8C1U,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,500,1.983627768346452
6XJN,,182,3RZV,HYDROLASE,417,1.9837190713609525
8C6H,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,500,1.984083255183687
7R3O,,199,5TX4,TRANSFERASE/CYTOKINE,395,1.9842609834541696
6KCP,,611,4GNL,LYASE,333,1.984261188207225
7KVX,,399,4DHE,CELL CYCLE,181,1.9843018101412413
8C6F,,1171,6C5U,TRANSFERASE/ANTIBIOTIC,500,1.984341360741006
8C6B,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,500,1.9843852141702576
7ALT,,161,4L9S,SIGNALING PROTEIN,535,1.984389684769417
6ZMU,,887,5UBR,TRANSFERASE/TRANSFERASE REGULATOR,424,1.9844610374892449
7BJO,,621,4ZI2,HYDROLASE,257,1.9848619543043104
6V7A,,886,7XQL,TOXIN,357,1.9852202708765088
6ZMU,,977,5TC3,OXIDOREDUCTASE,424,1.9852296793048556
8SO1,,1017,7ODN,STRUCTURAL PROTEIN,470,1.9854282699931904
1ZL9,,931,7AVU,PROTEIN BINDING,414,1.985454689028054
7K2R,,249,7ULF,LIGASE,581,1.9856845186074288
8C6A,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,500,1.9858383675647464
8DHH,,871,3BFK,HYDROLASE,367,1.9858416027538888
7ME5,,427,4IBY,DNA BINDING PROTEIN,153,1.9859697830815075
6THV,,168,3RSO,SIGNALING PROTEIN,381,1.9860436890751696
7VNH,,535,4EDW,IMMUNE SYSTEM,225,1.9862199610249027
4JND,,179,1M7B,SIGNALING PROTEIN,412,1.986224504208306
1ZL9,,860,6HI2,TRANSFERASE,414,1.9862870961624144
8DHH,,161,4L9S,SIGNALING PROTEIN,367,1.9864119415541333
4JND,,182,3RZV,HYDROLASE,412,1.9864154918634436
6WYP,,886,7XQL,TOXIN,358,1.9864255830117132
3N9O,,1006,6S8L,STRUCTURAL PROTEIN,495,1.9864495758044791
8C6F,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,500,1.9864956229114112
6YRQ,,886,7XQL,TOXIN,400,1.9866500283234096
8G1Z,,179,1M7B,SIGNALING PROTEIN,359,1.98667174354072
6XZH,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,245,1.9866725115636676
8C6C,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,500,1.986798380898087
6JVR,,743,4TMX,TRANSLATION,305,1.9869232680520903
6ELK,,162,1P2T,SIGNALING PROTEIN,392,1.9870863436142376
6ZW1,,168,3RSO,SIGNALING PROTEIN,380,1.9871299135779712
6V7A,,179,1M7B,SIGNALING PROTEIN,357,1.987209659718694
7R3O,,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,395,1.9872733989396427
6O5Z,,250,6RL4,PEPTIDE BINDING PROTEIN,531,1.9873018196607348
7LZF,,483,5VBZ,HYDROLASE,240,1.987409096523364
6Y6E,,454,6ZQT,PROTEIN BINDING,238,1.987508891388147
7AYV,,250,6RL4,PEPTIDE BINDING PROTEIN,502,1.9875481119732383
7MRO,,122,4CUD,TRANSCRIPTION,305,1.9876484236402732
6XJN,,180,2GCN,SIGNALING PROTEIN,417,1.9876730017585271
3N9P,,1017,7ODN,STRUCTURAL PROTEIN,501,1.9877790103570727
8IIZ,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",525,1.9880198645229683
8E8B,,168,1YZG,TRANSPORT PROTEIN,436,1.9880559318151003
7WCW,,670,3ZYC,HYDROLASE,300,1.9881100592527532
8OGC,,792,6TA7,RNA BINDING PROTEIN,305,1.988141863756808
7AZT,,250,6RL4,PEPTIDE BINDING PROTEIN,502,1.9882847480427008
7POK,,198,4LOF,APOPTOSIS,372,1.9886303732256807
6VRO,,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",334,1.9887246139832684
6TWA,,250,6RL4,PEPTIDE BINDING PROTEIN,522,1.988777529952008
8CIH,,168,3RSO,SIGNALING PROTEIN,362,1.988963705490662
6OS4,,282,1KE8,TRANSFERASE,147,1.9890838545825968
7Q4I,,282,1KE8,TRANSFERASE,569,1.9891797665215745
7SVB,,260,6SIP,PEPTIDE BINDING PROTEIN,555,1.9894053993413985
8CKC,,621,4ZI2,HYDROLASE,249,1.9894217694581755
6VJ9,,399,4DHE,CELL CYCLE,182,1.989659897022544
6YYK,,612,6IYB,TRANSPORT PROTEIN,318,1.9897782255542915
7BJI,,674,1RDY,HYDROLASE,349,1.989928267797484
7ME5,,329,8JCA,PROTEIN BINDING,153,1.989937882552866
7NYQ,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",566,1.9900247620180516
6PYO,,772,1EFC,RNA BINDING PROTEIN,318,1.990162663343488
6JLH,,260,6SIP,PEPTIDE BINDING PROTEIN,531,1.9902833726830425
6PKH,,751,3U6B,TRANSLATION FACTOR/ANTIBIOTIC,312,1.9905336638024036
6XJN,,179,1M7B,SIGNALING PROTEIN,417,1.990617183326643
6T2T,,104,1O4C,SIGNALING PROTEIN,254,1.9906445908324892
7JW6,,104,1O4C,SIGNALING PROTEIN,231,1.9908143976405688
6PZS,,886,7XQL,TOXIN,362,1.9908841173047056
7ALT,,162,1P2T,SIGNALING PROTEIN,535,1.9909760630796125
6ELK,,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,392,1.991007065142276
6YYK,,684,8STM,ONCOPROTEIN,318,1.9912848066435047
6Q9M,,887,5UBR,TRANSFERASE/TRANSFERASE REGULATOR,525,1.991387640086719
6JLH,,1035,7YZ5,CELL CYCLE,531,1.991991756192792
3N9O,,1017,7ODN,STRUCTURAL PROTEIN,495,1.992669244425241
6HXV,,122,4CUD,TRANSCRIPTION,333,1.9928326138396155
7UK2,,886,7XQL,TOXIN,362,1.9930458269411384
7XUB,,1171,6C5U,TRANSFERASE/ANTIBIOTIC,538,1.993217998917951
6YRB,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,199,1.9932188606577028
7UK2,,182,3RZV,HYDROLASE,362,1.993694024833639
6TWA,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,522,1.9937774623040636
7XVX,,871,3BFK,HYDROLASE,366,1.993794900131252
6T2M,,621,4ZI2,HYDROLASE,249,1.9938975432671076
6XI4,,171,6T5V,SIGNALING PROTEIN,408,1.993984229236804
7Q4I,,285,2R3K,TRANSFERASE,569,1.993989540101824
6X5Q,,674,1RDY,HYDROLASE,284,1.9941045824672687
8F1X,,741,6HTW,TRANSLATION,318,1.994233731018347
8GYN,,400,1KJZ,TRANSLATION,169,1.9943818084727836
6HXV,,611,4GNL,LYASE,333,1.994583723385203
6ZMU,,182,1SVI,HYDROLASE,424,1.994594992613692
8PBR,,168,3RSO,SIGNALING PROTEIN,370,1.9946680095027332
7Q4I,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,569,1.9947864792477863
6TFW,,260,6SIP,PEPTIDE BINDING PROTEIN,530,1.9948478060417492
6Q9M,,179,1M7B,SIGNALING PROTEIN,525,1.9952472895215083
6ZMU,,182,6JIK,SIGNALING PROTEIN,424,1.995336379541628
6S7F,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,523,1.9953677383471025
6KCP,,674,1RDY,HYDROLASE,333,1.9956735716028056
6XDB,,168,1YZG,TRANSPORT PROTEIN,404,1.995758319816714
7POK,,182,1SVI,HYDROLASE,372,1.995774534855448
7Q4I,,279,1GII,TRANSFERASE,569,1.995925789367369
8D7P,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,594,1.9963299214478567
6VNV,,743,4TMX,TRANSLATION,274,1.9964490357656104
6OS4,,292,7UG1,CELL CYCLE,147,1.996930859933632
7DCJ,,424,4RJL,TRANSLATION,204,1.997090706255013
7ALT,,887,5UBR,TRANSFERASE/TRANSFERASE REGULATOR,535,1.997315374012646
6KCP,,653,2FB3,LIGAND BINDING PROTEIN,333,1.9973979061636176
8PBR,,172,8QUG,TRANSFERASE,370,1.997583538950781
7X15,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,251,1.9978333250104892
6ZUW,,670,3ZYC,HYDROLASE,287,1.998060581196088
6WYP,,199,5TX4,TRANSFERASE/CYTOKINE,358,1.9981623775881203
7PRX,,643,4YW9,LYASE,267,1.9981691964241344
7AB8,,653,2FB3,LIGAND BINDING PROTEIN,311,1.9981858209368124
3N9Q,,1006,6S8L,STRUCTURAL PROTEIN,496,1.9983848506376531
7R3O,,852,4ANV,TRANSFERASE,395,1.99844428094642
6OS4,,279,1GII,TRANSFERASE,147,1.9986067563572445
6Z26,,741,6HTW,TRANSLATION,397,1.998747120454856
8BJK,,182,3RZV,HYDROLASE,366,1.9989146190684408
7BJI,,698,2GF0,TRANSPORT PROTEIN,349,1.9989533326875528
8C6H,,246,2H2D,HYDROLASE,500,1.9989960914725784
8SO1,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",470,1.9994972831506967
7SVB,,246,2H2D,HYDROLASE,555,1.9995918415596403
6XTZ,,182,1SVI,HYDROLASE,425,1.999853290714683
7D87,,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",211,1.9999398929414036
7JL7,,1035,7YZ5,CELL CYCLE,479,2.000042473589209
6Q9M,,199,5TX4,TRANSFERASE/CYTOKINE,525,2.000047537982507
8C6F,,246,2H2D,HYDROLASE,500,2.000062233090731
7CFB,,183,1ZNY,TRANSFERASE,388,2.000202503715423
6VFQ,,804,6D5M,SIGNALING PROTEIN,425,2.000557147486361
6T2T,,106,1O43,SIGNALING PROTEIN,254,2.000600530473331
6LPH,,621,4ZI2,HYDROLASE,272,2.000860139850756
1D4X,,1035,6ZWB,CELL CYCLE,492,2.000869669857912
4JND,,977,5TC3,OXIDOREDUCTASE,412,2.001071832003844
6S7X,,741,6HTW,TRANSLATION,332,2.0012164643673858
7QUT,,250,7VV8,CELL CYCLE,504,2.0016804692052426
8OMK,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,600,2.0017616369401647
7MFW,,399,4DHE,CELL CYCLE,191,2.001863732875396
8GYN,,365,4XUL,TRANSFERASE,169,2.002271313155565
7AYV,,246,2H2D,HYDROLASE,502,2.0022845865469066
6WMS,,887,5UBR,TRANSFERASE/TRANSFERASE REGULATOR,419,2.0023755344857124
6XDB,,171,6T5V,SIGNALING PROTEIN,404,2.002406163335395
8C6H,,250,7VV8,CELL CYCLE,500,2.0024760393337533
7MRO,,743,4TMX,TRANSLATION,305,2.002516319577624
8C6A,,250,7VV8,CELL CYCLE,500,2.002532469065072
8DHU,,674,1RDY,HYDROLASE,299,2.002584333703492
4IRR,,279,1GII,TRANSFERASE,589,2.0026663220111747
8C6B,,246,2H2D,HYDROLASE,500,2.002919273462119
6S9F,,931,7AVU,PROTEIN BINDING,598,2.002935319786564
8C6C,,246,2H2D,HYDROLASE,500,2.0029876609148345
8C6A,,246,2H2D,HYDROLASE,500,2.0032092517762865
8BJK,,183,1ZNY,TRANSFERASE,366,2.0036867731596644
6S9F,,249,7ULF,LIGASE,598,2.003767021908748
8C69,,246,2H2D,HYDROLASE,500,2.003815622080269
8UQB,,931,7AVU,PROTEIN BINDING,408,2.0039541042417004
8DKT,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",526,2.004048105068015
7Y8D,,308,6RVN,CELL CYCLE,151,2.0044450371904827
7Y8D,,427,4IBY,DNA BINDING PROTEIN,151,2.0044527628203523
7ALT,,168,1YZG,TRANSPORT PROTEIN,535,2.0044906128183757
6K80,,535,4EDW,IMMUNE SYSTEM,213,2.0045048857877394
7D86,,441,8DGO,SIGNALING PROTEIN,185,2.0045084201145267
7JQG,,1006,6S8L,STRUCTURAL PROTEIN,499,2.0045192403102257
6OS4,,303,7ZPC,CELL CYCLE,147,2.0045945400947347
6HXV,,792,6TA7,RNA BINDING PROTEIN,333,2.0050693311120824
8PBR,,199,5TX4,TRANSFERASE/CYTOKINE,370,2.0051112748841864
7BO6,,621,4ZI2,HYDROLASE,247,2.0053110668352714
7QUT,,246,2H2D,HYDROLASE,504,2.0054531634201966
8OMK,,279,1GII,TRANSFERASE,600,2.0056050648141808
8C6F,,250,7VV8,CELL CYCLE,500,2.0056662039304105
8C6B,,250,7VV8,CELL CYCLE,500,2.00589967843496
7MNU,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,243,2.0059370407280563
6PZS,,182,3RZV,HYDROLASE,362,2.006066190070574
7MRO,,611,4GNL,LYASE,305,2.0060889336184218
7MFW,,441,8DGO,SIGNALING PROTEIN,191,2.006090967712596
7POK,,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,372,2.0061009647800074
7TGQ,,356,5QQL,HYDROLASE/TRANSFERASE,182,2.006135257685879
8C69,,250,7VV8,CELL CYCLE,500,2.0061936014132864
8C1U,,246,2H2D,HYDROLASE,500,2.0062399493317797
8BOK,,643,4YW9,LYASE,282,2.0063306810187918
7CFB,,172,8QUG,TRANSFERASE,388,2.006458810069208
8C1U,,250,7VV8,CELL CYCLE,500,2.0064862269082546
7UK2,,183,1ZNY,TRANSFERASE,362,2.0065010441999056
6VNV,,612,6IYB,TRANSPORT PROTEIN,274,2.006731852019481
6X5Q,,792,6TA7,RNA BINDING PROTEIN,284,2.0069360533213483
6VJ8,,457,7G8E,CYTOSOLIC PROTEIN,182,2.0071938665346827
6UJO,,804,6D5M,SIGNALING PROTEIN,384,2.0072187122499967
7ALT,,931,7AVU,PROTEIN BINDING,535,2.00741696274671
7F2X,,792,6TA7,RNA BINDING PROTEIN,303,2.0076173949901497
6Q9M,,182,1SVI,HYDROLASE,525,2.007698692330056
8PZ9,,621,4ZI2,HYDROLASE,246,2.007783053167018
6HXY,,621,4ZI2,HYDROLASE,301,2.008121569153332
8F1X,,751,3U6B,TRANSLATION FACTOR/ANTIBIOTIC,318,2.008134963072477
8C6C,,250,7VV8,CELL CYCLE,500,2.008297301620209
7MIC,,483,5VBZ,HYDROLASE,220,2.008325551517958
8E8B,,977,5TC3,OXIDOREDUCTASE,436,2.008448109967143
7R3O,,183,1ZNY,TRANSFERASE,395,2.0084505255127403
8OIJ,,182,6JIK,SIGNALING PROTEIN,350,2.0084593182819366
8G1Z,,182,1SVI,HYDROLASE,359,2.0084892748289387
7CUY,,741,6HTW,TRANSLATION,307,2.009041399595352
8DIO,,684,8STM,ONCOPROTEIN,300,2.0090900341082745
6PYO,,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",318,2.0092199609444963
6XTZ,,182,6JIK,SIGNALING PROTEIN,425,2.0092517738441598
6XYS,,246,2H2D,HYDROLASE,537,2.0093561049933686
7SVB,,250,7VV8,CELL CYCLE,555,2.0094721898381
7JQG,,1171,6C5U,TRANSFERASE/ANTIBIOTIC,499,2.009489071408204
8OIJ,,179,1M7B,SIGNALING PROTEIN,350,2.0094987491367333
8BJK,,199,5TX4,TRANSFERASE/CYTOKINE,366,2.00951178771508
8DHU,,684,8STM,ONCOPROTEIN,299,2.0095809714015145
6XG7,,670,3ZYC,HYDROLASE,304,2.0097384450825886
6X5Q,,653,2FB3,LIGAND BINDING PROTEIN,284,2.0097444757864187
7CUY,,751,3U6B,TRANSLATION FACTOR/ANTIBIOTIC,307,2.009986755446253
7CIU,,931,7AVU,PROTEIN BINDING,415,2.010212633158619
6XDB,,860,6HI2,TRANSFERASE,404,2.010415708849512
7F2X,,670,3ZYC,HYDROLASE,303,2.010520026142974
6T2T,,108,4F59,PROTEIN BINDING,254,2.010554354268302
8E8B,,931,7AVU,PROTEIN BINDING,436,2.0107773921596723
7O2R,,198,4LOF,APOPTOSIS,357,2.010779930957641
7O3S,,122,4CUD,TRANSCRIPTION,235,2.0108239470135083
3N9Q,,1017,7ODN,STRUCTURAL PROTEIN,496,2.0109874502795697
7D8A,,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",210,2.0109881909382588
6KCP,,792,6TA7,RNA BINDING PROTEIN,333,2.010999452086085
6XJN,,977,5TC3,OXIDOREDUCTASE,417,2.0110184770741624
7MQY,,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",370,2.011088702721598
6PKH,,698,2GF0,TRANSPORT PROTEIN,312,2.011100481197091
6KD6,,684,8STM,ONCOPROTEIN,325,2.011154006599597
7R5F,,792,6TA7,RNA BINDING PROTEIN,301,2.011202952962158
7OXZ,,621,4ZI2,HYDROLASE,248,2.011261029094177
6PZS,,183,1ZNY,TRANSFERASE,362,2.011354802512105
6Z26,,653,2FB3,LIGAND BINDING PROTEIN,397,2.011435700964129
7F2X,,674,1RDY,HYDROLASE,303,2.0114366682495017
6XYS,,260,6SIP,PEPTIDE BINDING PROTEIN,537,2.011452273967394
4IRR,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,589,2.011493065841541
8PZ7,,621,4ZI2,HYDROLASE,247,2.011545107756239
7JHD,,1035,6ZWB,CELL CYCLE,467,2.0115776178001115
6S9F,,250,7VV8,CELL CYCLE,598,2.0115857761913647
7MRO,,621,4ZI2,HYDROLASE,305,2.011633587122598
6S7X,,751,3U6B,TRANSLATION FACTOR/ANTIBIOTIC,332,2.0118005822824987
6S7Y,,698,2GF0,TRANSPORT PROTEIN,320,2.011934428125407
6Y6E,,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",238,2.0122487183318323
7UK2,,199,5TX4,TRANSFERASE/CYTOKINE,362,2.0123359283858777
6WYP,,182,3RZV,HYDROLASE,358,2.0124007184155777
7E1T,,931,7AVU,PROTEIN BINDING,403,2.012403162574627
6GWQ,,1006,6S8L,STRUCTURAL PROTEIN,475,2.0124671705365422
6ZUW,,674,1RDY,HYDROLASE,287,2.0124752618089814
7XHK,,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",334,2.0127630063924835
6WSJ,,179,1M7B,SIGNALING PROTEIN,358,2.013031448421589
6THV,,172,8QUG,TRANSFERASE,381,2.0130645576568478
7BTG,,319,3LUI,PROTEIN TRANSPORT,157,2.013127206770368
6XDB,,199,5TX4,TRANSFERASE/CYTOKINE,404,2.013327761670889
8DIO,,674,1RDY,HYDROLASE,300,2.01341290292283
6WSJ,,182,1SVI,HYDROLASE,358,2.013475409614865
7XUB,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,538,2.013607352681707
6PZS,,199,5TX4,TRANSFERASE/CYTOKINE,362,2.013768566786414
6VNV,,684,8STM,ONCOPROTEIN,274,2.0138159820783925
8DHH,,162,1P2T,SIGNALING PROTEIN,367,2.014277452550699
6WMS,,977,5TC3,OXIDOREDUCTASE,419,2.0142881786024525
8IIZ,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,525,2.0143380702218767
1D4X,,1035,7YZ5,CELL CYCLE,492,2.0146015328693254
6S9F,,250,6RL4,PEPTIDE BINDING PROTEIN,598,2.015155501735555
6ELK,,852,4ANV,TRANSFERASE,392,2.0151947938607235
7TGQ,,365,4XUL,TRANSFERASE,182,2.015258548382184
6TFW,,249,7ULF,LIGASE,530,2.0152691054656624
8HTC,,643,4YW9,LYASE,290,2.0153110900721707
6V7A,,182,1SVI,HYDROLASE,357,2.0154224400713106
7POK,,886,7XQL,TOXIN,372,2.0155787410352928
7TGQ,,356,5QQM,HYDROLASE/TRANSFERASE,182,2.015638213496713
4JND,,199,5TX4,TRANSFERASE/CYTOKINE,412,2.0156497845964325
6ZW1,,172,8QUG,TRANSFERASE,380,2.0156705480769035
7PV5,,316,1CIP,HYDROLASE,159,2.01585140297616
7ME5,,308,6RVN,CELL CYCLE,153,2.016076299609404
8SKI,,977,5TC3,OXIDOREDUCTASE,426,2.016163006557698
7UVE,,483,5VBZ,HYDROLASE,236,2.016440444941276
6Z26,,751,3U6B,TRANSLATION FACTOR/ANTIBIOTIC,397,2.016596600829577
6X5Q,,670,3ZYC,HYDROLASE,284,2.01678883307811
6PGW,,804,6D5M,SIGNALING PROTEIN,427,2.0169014485607253
8DHU,,743,4TMX,TRANSLATION,299,2.016974223007595
8D7P,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,594,2.0172598884503667
6XRP,,457,7G8E,CYTOSOLIC PROTEIN,186,2.017601400264017
7JQG,,1017,7ODN,STRUCTURAL PROTEIN,499,2.017644525663934
6K80,,122,4CUD,TRANSCRIPTION,213,2.0177146570558
6VJ9,,457,7G8E,CYTOSOLIC PROTEIN,182,2.017829719305243
8BOK,,743,4TMX,TRANSLATION,282,2.01785879073034
8BS5,,400,1KJZ,TRANSLATION,164,2.018704325072438
6YRQ,,183,1ZNY,TRANSFERASE,400,2.018727386898161
8E8B,,162,1P2T,SIGNALING PROTEIN,436,2.0187477897531783
7LG3,,886,7XQL,TOXIN,394,2.0191033114164467
7R3O,,168,3RSO,SIGNALING PROTEIN,395,2.01918119909637
8K71,,741,6HTW,TRANSLATION,340,2.0192040299306324
7BTG,,411,6SI1,DNA BINDING PROTEIN,157,2.019444090709492
7AZT,,250,7VV8,CELL CYCLE,502,2.0197053525005177
8D7P,,285,2R3K,TRANSFERASE,594,2.020093461623047
8G8O,,260,6SIP,PEPTIDE BINDING PROTEIN,558,2.02017031971339
6KOJ,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,257,2.0201800831835866
6JVR,,611,4GNL,LYASE,305,2.020230633275752
7O2R,,180,2GCN,SIGNALING PROTEIN,357,2.0202334310611483
6XTZ,,887,5UBR,TRANSFERASE/TRANSFERASE REGULATOR,425,2.020258559807029
7ZFG,,621,4ZI2,HYDROLASE,247,2.0203191220396985
7JHD,,1035,7YZ5,CELL CYCLE,467,2.0205280107713186
8X72,,698,2GF0,TRANSPORT PROTEIN,294,2.0205618350487518
6YRQ,,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,400,2.02089844552261
8GYN,,424,4RJL,TRANSLATION,169,2.0210065891991573
6WYP,,183,1ZNY,TRANSFERASE,358,2.021224934244435
7CIU,,162,1P2T,SIGNALING PROTEIN,415,2.021269668160916
7UAD,,792,6TA7,RNA BINDING PROTEIN,277,2.021423955464594
6XTZ,,198,4LOF,APOPTOSIS,425,2.0214256439278646
7ME5,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,153,2.0214447583863704
6XZI,,621,4ZI2,HYDROLASE,247,2.0215001176145
8BOK,,612,6IYB,TRANSPORT PROTEIN,282,2.021655555668504
6Q9M,,182,3RZV,HYDROLASE,525,2.021678435510744
8B8Z,,250,6RL4,PEPTIDE BINDING PROTEIN,528,2.0217897453914198
7R5F,,674,1RDY,HYDROLASE,301,2.021971055136166
6XI4,,168,1YZG,TRANSPORT PROTEIN,408,2.0221750688722997
8ADD,,535,4EDW,IMMUNE SYSTEM,209,2.0221848338069317
8OG5,,670,3ZYC,HYDROLASE,301,2.022299939762543
8E8B,,161,4L9S,SIGNALING PROTEIN,436,2.022378697469246
6QQ4,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,243,2.022491387777141
8DHU,,612,6IYB,TRANSPORT PROTEIN,299,2.022712457466541
7X15,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,251,2.0229165712613546
8FDX,,535,4EDW,IMMUNE SYSTEM,202,2.022952238760501
7AYV,,249,7ULF,LIGASE,502,2.023205449661349
8CIH,,171,6T5V,SIGNALING PROTEIN,362,2.023394640594033
7AZT,,246,2H2D,HYDROLASE,502,2.023577701037984
8G8O,,250,7VV8,CELL CYCLE,558,2.023609975668936
8CIH,,161,4L9S,SIGNALING PROTEIN,362,2.0236483798814597
6XTZ,,180,2GCN,SIGNALING PROTEIN,425,2.0238298057450503
7POK,,852,4ANV,TRANSFERASE,372,2.023949686522011
6GWQ,,1017,7ODN,STRUCTURAL PROTEIN,475,2.0239702436579385
6THV,,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,381,2.024152274212398
6JVR,,684,8STM,ONCOPROTEIN,305,2.0242227712034357
8C6F,,249,7ULF,LIGASE,500,2.0242645450410937
7QUT,,249,7ULF,LIGASE,504,2.024458132189105
6XI4,,860,6HI2,TRANSFERASE,408,2.0244728187062617
8C6C,,249,7ULF,LIGASE,500,2.0245294044696784
6YRQ,,852,4ANV,TRANSFERASE,400,2.025154149412485
6SLW,,122,4CUD,TRANSCRIPTION,245,2.0253191639054435
7UAD,,670,3ZYC,HYDROLASE,277,2.0253340887168614
6HXV,,612,6IYB,TRANSPORT PROTEIN,333,2.0254062951507508
8C6B,,249,7ULF,LIGASE,500,2.025440713386691
8D7P,,319,3LUI,PROTEIN TRANSPORT,594,2.025488774086972
8C69,,249,7ULF,LIGASE,500,2.025514107872338
7AZW,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,235,2.025704328691443
4JND,,172,8QUG,TRANSFERASE,412,2.025776598927134
8BS5,,411,6SI1,DNA BINDING PROTEIN,164,2.026333842209684
7LG3,,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,394,2.0263668787714444
6YYK,,792,6TA7,RNA BINDING PROTEIN,318,2.026387530095671
6XWV,,1171,6C5U,TRANSFERASE/ANTIBIOTIC,536,2.0264457803642872
8PBR,,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,370,2.026524871327055
6YRQ,,172,8QUG,TRANSFERASE,400,2.0265668505451324
6XJN,,183,1ZNY,TRANSFERASE,417,2.026575153305985
6ZW1,,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,380,2.026813582055536
7CIU,,860,6HI2,TRANSFERASE,415,2.02692636303173
8C6H,,249,7ULF,LIGASE,500,2.0270630985168023
6S9F,,887,5UBR,TRANSFERASE/TRANSFERASE REGULATOR,598,2.027355494230503
8C6A,,249,7ULF,LIGASE,500,2.0274579574653666
6YUY,,804,6D5M,SIGNALING PROTEIN,360,2.0275310477221398
7JHD,,1171,6C5U,TRANSFERASE/ANTIBIOTIC,467,2.027537312966464
7SVB,,249,7ULF,LIGASE,555,2.027636220441538
7AZT,,249,7ULF,LIGASE,502,2.0277571975661908
6KD6,,611,4GNL,LYASE,325,2.0280299365064574
8OIJ,,198,4LOF,APOPTOSIS,350,2.0283150346931174
