Target,Function Target,Number of Alpha Carbons in Target,Reference,Function Reference,Number of Alpha Carbons in Reference,Distance
7AB8,SIGNALING PROTEIN,611,4GNL,LYASE,311,1.8810978311977904
6S9F,SIGNALING PROTEIN,886,7XQL,TOXIN,598,1.8811224563290163
6ELK,OXIDOREDUCTASE,172,8QUG,TRANSFERASE,392,1.8811830760175583
6LPH,PROTEIN BINDING,602,7MDP,HYDROLASE/IMMUNE SYSTEM,272,1.8813283992727328
7AYV,LYASE,1035,6ZWB,CELL CYCLE,502,1.881484330304549
6UPR,STRUCTURAL PROTEIN,250,7VV8,CELL CYCLE,543,1.8815849487726737
6YRB,VIRAL PROTEIN,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,199,1.8817160007426836
8B8Z,TRANSCRIPTION,1035,6ZWB,CELL CYCLE,528,1.8817790007122892
6UJO,IMMUNE SYSTEM,199,5TX4,TRANSFERASE/CYTOKINE,384,1.882011616024956
7MRS,CELL ADHESION,653,2FB3,LIGAND BINDING PROTEIN,366,1.8822551371411895
6Q9M,EXOCYTOSIS,852,4ANV,TRANSFERASE,525,1.8822995676224208
8FDX,LIGASE,106,1O43,SIGNALING PROTEIN,202,1.882699861995019
7R5F,RNA BINDING PROTEIN,643,4YW9,LYASE,301,1.8828854897538585
6V7A,HYDROLASE,182,6JIK,SIGNALING PROTEIN,357,1.8832267508566287
7BJI,STRUCTURAL PROTEIN,612,6IYB,TRANSPORT PROTEIN,349,1.8837570436563316
7RL3,"SIGNALING PROTEIN, TRANSFERASE",294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,165,1.883818905049251
7CIX,TRANSFERASE,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",216,1.884142731158431
6ZW1,HYDROLASE,179,1M7B,SIGNALING PROTEIN,380,1.88431446488726
8G1Z,HYDROLASE/INHIBITOR,182,6JIK,SIGNALING PROTEIN,359,1.8843909759750483
8D6F,"SIGNALING PROTEIN,",1035,7YZ5,CELL CYCLE,542,1.8844273355154584
8SKI,TRANSFERASE/DNA,180,2GCN,SIGNALING PROTEIN,426,1.884488964627525
8OGC,TRANSFERASE,621,4ZI2,HYDROLASE,305,1.884657514549956
6Z26,STRUCTURAL PROTEIN,612,6IYB,TRANSPORT PROTEIN,397,1.8846784021552665
6Q9M,EXOCYTOSIS,860,6HI2,TRANSFERASE,525,1.8848466997319853
6Q9M,EXOCYTOSIS,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,525,1.8850566983387984
8BS5,RNA BINDING PROTEIN,316,1CIP,HYDROLASE,164,1.8850978407336247
4IRR,TRANSFERASE,292,7UG1,CELL CYCLE,589,1.8851280412283
7AB8,SIGNALING PROTEIN,743,4TMX,TRANSLATION,311,1.8853178542366036
8E8B,TRANSFERASE/DNA,804,6D5M,SIGNALING PROTEIN,436,1.885381548039911
7YB7,APOPTOSIS,161,4L9S,SIGNALING PROTEIN,294,1.8856346259082903
4IRR,TRANSFERASE,296,5MHQ,CELL CYCLE/INHIBITOR,589,1.8861296538384376
8DKT,CELL CYCLE,249,7ULF,LIGASE,526,1.886176237970111
8UQB,TRANSFERASE,171,6T5V,SIGNALING PROTEIN,408,1.886712742530392
7MFW,CELL ADHESION,356,5QQL,HYDROLASE/TRANSFERASE,191,1.886873544241353
6Z26,STRUCTURAL PROTEIN,182,6JIK,SIGNALING PROTEIN,397,1.8869635192144996
6Z26,STRUCTURAL PROTEIN,172,8QUG,TRANSFERASE,397,1.8870452436300136
7NYQ,RNA BINDING PROTEIN,250,7VV8,CELL CYCLE,566,1.8870767837026683
6XYS,HYDROLASE,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,537,1.8870833505015887
8IIZ,NUCLEAR PROTEIN,249,7ULF,LIGASE,525,1.8871281647437608
6THV,HYDROLASE,804,6D5M,SIGNALING PROTEIN,381,1.88726933209831
6X5Q,TRANSFERASE,684,8STM,ONCOPROTEIN,284,1.887463947227942
6ELK,OXIDOREDUCTASE,804,6D5M,SIGNALING PROTEIN,392,1.887492582453426
7ALT,SIGNALING PROTEIN,860,6HI2,TRANSFERASE,535,1.8875051887637555
8PZ7,TRANSCRIPTION,533,6WGN,SIGNALING PROTEIN/INHIBITOR,247,1.887625213376917
7U9D,LIPID BINDING PROTEIN,399,4DHE,CELL CYCLE,203,1.8876705861319003
7E1T,PROTEIN TRANSPORT,199,5TX4,TRANSFERASE/CYTOKINE,403,1.887671922089092
7SVB,HYDROLASE/DNA,1171,6C5U,TRANSFERASE/ANTIBIOTIC,555,1.887773458170784
8D6D,"SIGNALING PROTEIN,",1035,7YZ5,CELL CYCLE,544,1.8880092608647223
7AYV,LYASE,1035,7YZ5,CELL CYCLE,502,1.888024158581108
6LXC,TRANSCRIPTION,602,7MDP,HYDROLASE/IMMUNE SYSTEM,261,1.8885300749831573
7VNI,TRANSCRIPTION,168,1YZG,TRANSPORT PROTEIN,433,1.888535314745173
6JVR,HYDROLASE,621,4ZI2,HYDROLASE,305,1.8887812015376648
6WYP,HYDROLASE,198,4LOF,APOPTOSIS,358,1.8890375175200336
7DB2,TRANSFERASE,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",468,1.8890626987605352
7LG3,IMMUNE SYSTEM/VIRAL PROTEIN,168,1YZG,TRANSPORT PROTEIN,394,1.889164852211599
7RL3,"SIGNALING PROTEIN, TRANSFERASE",292,2C6I,TRANSFERASE,165,1.8892705003990569
7PO9,TRANSCRIPTION,411,6SI1,DNA BINDING PROTEIN,172,1.8893532374728577
8AK2,STRUCTURAL PROTEIN,684,8STM,ONCOPROTEIN,294,1.8897476562281896
7NYQ,RNA BINDING PROTEIN,250,6RL4,PEPTIDE BINDING PROTEIN,566,1.8898566187549584
7BO6,TRANSCRIPTION,533,6WGN,SIGNALING PROTEIN/INHIBITOR,247,1.8899126193540443
6WMS,TRANSCRIPTION,860,6HI2,TRANSFERASE,419,1.890021962146614
7AB8,SIGNALING PROTEIN,612,6IYB,TRANSPORT PROTEIN,311,1.8900710687365647
7MQY,CELL ADHESION,698,2GF0,TRANSPORT PROTEIN,370,1.8901718532347505
6Z26,STRUCTURAL PROTEIN,183,1ZNY,TRANSFERASE,397,1.890191266530751
6ZW1,HYDROLASE,804,6D5M,SIGNALING PROTEIN,380,1.8904973010624448
6KCP,DNA BINDING PROTEIN/DNA,743,4TMX,TRANSLATION,333,1.8905092386768163
6XDB,TRANSFERASE/TRANSFERASE INHIBITOR,182,3RZV,HYDROLASE,404,1.8905678393499064
8UQB,TRANSFERASE,168,1YZG,TRANSPORT PROTEIN,408,1.890705356328968
7ME5,SIGNALING PROTEIN,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,153,1.890863566314128
7O2R,HYDROLASE,804,6D5M,SIGNALING PROTEIN,357,1.8908680686517223
8GM5,TRANSLATION/TRANSFERASE,1171,6C5U,TRANSFERASE/ANTIBIOTIC,555,1.890946160727038
6YUY,HYDROLASE,168,1YZG,TRANSPORT PROTEIN,360,1.8909535562199256
6S9F,SIGNALING PROTEIN,977,5TC3,OXIDOREDUCTASE,598,1.891016791739864
6PYO,PROTEIN TRANSPORT,741,6HTW,TRANSLATION,318,1.8911262893863752
1ZL9,TRANSFERASE,804,6D5M,SIGNALING PROTEIN,414,1.8912017625128288
7ZFG,TRANSCRIPTION,533,6WGN,SIGNALING PROTEIN/INHIBITOR,247,1.891247352285704
6ELK,OXIDOREDUCTASE,168,3RSO,SIGNALING PROTEIN,392,1.891417769453956
8B8Z,TRANSCRIPTION,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,528,1.8915513323922664
7JVO,TRANSPORT PROTEIN,977,5TC3,OXIDOREDUCTASE,432,1.891652002488168
6UPR,STRUCTURAL PROTEIN,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,543,1.891701322770062
4IRR,TRANSFERASE,318,5SZH,ENDOCYTOSIS,589,1.8918838988388316
6X5Q,TRANSFERASE,612,6IYB,TRANSPORT PROTEIN,284,1.8919274186922312
7PV5,RNA BINDING PROTEIN,308,6RVN,CELL CYCLE,159,1.8920849600959528
6XG7,PROTEIN BINDING,743,4TMX,TRANSLATION,304,1.8921261553779027
8OMK,SUGAR BINDING PROTEIN,292,2C6I,TRANSFERASE,600,1.8921783936906615
8G8S,TRANSCRIPTION,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",448,1.8921786710527249
8OMK,SUGAR BINDING PROTEIN,318,5SZH,ENDOCYTOSIS,600,1.8921851350274883
7ULU,HYDROLASE,279,1GII,TRANSFERASE,550,1.8922133679291804
7VNI,TRANSCRIPTION,161,4L9S,SIGNALING PROTEIN,433,1.892238544234468
7F2X,SIGNALING PROTEIN,743,4TMX,TRANSLATION,303,1.8922564541422684
7SVB,HYDROLASE/DNA,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,555,1.8922700952749527
7UK2,METAL BINDING PROTEIN/INHIBITOR,198,4LOF,APOPTOSIS,362,1.892514643829011
7ALT,SIGNALING PROTEIN,183,1ZNY,TRANSFERASE,535,1.8927806140402237
6PGW,CELL ADHESION,768,4Q00,METAL TRANSPORT,427,1.892993189541445
7POK,TRANSCRIPTION,804,6D5M,SIGNALING PROTEIN,372,1.8932018426762505
8BJK,HYDROLASE,198,4LOF,APOPTOSIS,366,1.8932145848469772
8BJK,HYDROLASE,180,2GCN,SIGNALING PROTEIN,366,1.8937232875709904
7YBX,TRANSFERASE/INHIBITOR,612,6IYB,TRANSPORT PROTEIN,300,1.893987692333775
6PZS,HYDROLASE/HYDROLASE INHIBITOR,180,2GCN,SIGNALING PROTEIN,362,1.8939979907541469
6HXY,STRUCTURAL PROTEIN,602,7MDP,HYDROLASE/IMMUNE SYSTEM,301,1.894121415872006
7UK2,METAL BINDING PROTEIN/INHIBITOR,180,2GCN,SIGNALING PROTEIN,362,1.8943064425110283
7PWT,CHAPERONE,535,4EDW,IMMUNE SYSTEM,237,1.8943373406705852
6HXV,STRUCTURAL PROTEIN,106,1O43,SIGNALING PROTEIN,333,1.894346912488582
7ULU,HYDROLASE,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,550,1.8943908403553409
7ALT,SIGNALING PROTEIN,182,1SVI,HYDROLASE,535,1.8945119965810184
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR,698,2GF0,TRANSPORT PROTEIN,318,1.894630447369551
6YUY,HYDROLASE,171,6T5V,SIGNALING PROTEIN,360,1.89475160016662
8PBR,HYDROLASE,804,6D5M,SIGNALING PROTEIN,370,1.894806150951516
7Y9C,TRANSFERASE,319,3LUI,PROTEIN TRANSPORT,562,1.8948625054561004
7QUT,DNA BINDING PROTEIN,1035,6ZWB,CELL CYCLE,504,1.8949069632572868
6S7Y,NEUROPEPTIDE,611,4GNL,LYASE,320,1.8949668653707
3K6J,OXIDOREDUCTASE,887,5UBR,TRANSFERASE/TRANSFERASE REGULATOR,431,1.8950294827684329
6O5Z,TRANSFERASE/TRANSFERASE INHIBITOR,1035,6ZWB,CELL CYCLE,531,1.8950389396606653
7MFW,CELL ADHESION,356,5QQM,HYDROLASE/TRANSFERASE,191,1.8951085309718787
6ELK,OXIDOREDUCTASE,871,3BFK,HYDROLASE,392,1.8951735067075204
6O5Z,TRANSFERASE/TRANSFERASE INHIBITOR,1171,6C5U,TRANSFERASE/ANTIBIOTIC,531,1.895220958042392
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,684,8STM,ONCOPROTEIN,300,1.895368666660943
7R3O,TRANSFERASE,804,6D5M,SIGNALING PROTEIN,395,1.895549584732956
6XJN,HYDROLASE,198,4LOF,APOPTOSIS,417,1.895683915725075
8OMK,SUGAR BINDING PROTEIN,303,7ZPC,CELL CYCLE,600,1.8958416862466632
7YB7,APOPTOSIS,612,6IYB,TRANSPORT PROTEIN,294,1.8959870854612504
8K71,OXIDOREDUCTASE,792,6TA7,RNA BINDING PROTEIN,340,1.8961423499866328
6TBN,BIOSYNTHETIC PROTEIN,931,7AVU,PROTEIN BINDING,483,1.896374454989176
7BJO,TRANSFERASE,602,7MDP,HYDROLASE/IMMUNE SYSTEM,257,1.896465213644057
7PRX,SIGNALING PROTEIN,621,4ZI2,HYDROLASE,267,1.8965188341650216
6Z26,STRUCTURAL PROTEIN,743,4TMX,TRANSLATION,397,1.896679010765353
7NYQ,RNA BINDING PROTEIN,249,7ULF,LIGASE,566,1.8967420923230232
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,612,6IYB,TRANSPORT PROTEIN,300,1.8971076324783531
8X72,TRANSFERASE,684,8STM,ONCOPROTEIN,294,1.8972136879337065
8D7P,TRANSFERASE/CIRCADIAN CLOCK PROTEIN,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,594,1.8972179726104028
6XZI,GENE REGULATION,533,6WGN,SIGNALING PROTEIN/INHIBITOR,247,1.8972369428950195
7VNI,TRANSCRIPTION,871,3BFK,HYDROLASE,433,1.8973167323003453
6S7F,HYDROLASE,250,7VV8,CELL CYCLE,523,1.8973745635875847
7CFB,GENE REGULATION,871,3BFK,HYDROLASE,388,1.897447356837544
7BTG,SIGNALING PROTEIN,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,157,1.897537674862224
4IRR,TRANSFERASE,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,589,1.898039627986452
6X5Q,TRANSFERASE,743,4TMX,TRANSLATION,284,1.8980660574596908
6HXY,STRUCTURAL PROTEIN,122,4CUD,TRANSCRIPTION,301,1.898159323720751
7UVE,TRANSFERASE,535,4EDW,IMMUNE SYSTEM,236,1.898242556214729
8FDX,LIGASE,108,4F59,PROTEIN BINDING,202,1.898275345833757
6XTZ,SIGNALING PROTEIN,860,6HI2,TRANSFERASE,425,1.8982854073357196
7O08,TRANSFERASE,977,5TC3,OXIDOREDUCTASE,451,1.898365462466913
6PZS,HYDROLASE/HYDROLASE INHIBITOR,198,4LOF,APOPTOSIS,362,1.89855453051863
8DHH,OXIDOREDUCTASE/INHIBITOR,168,3RSO,SIGNALING PROTEIN,367,1.8986740380980025
8OGC,TRANSFERASE,743,4TMX,TRANSLATION,305,1.89876309033392
7JQG,TRANSCRIPTION,250,7VV8,CELL CYCLE,499,1.8988795644466696
7XVX,CYTOKINE,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",366,1.899247890020611
7CUY,HYDROLASE,653,2FB3,LIGAND BINDING PROTEIN,307,1.8992818243542693
6WSJ,HYDROLASE/HYDROLASE INHIBITOR,182,6JIK,SIGNALING PROTEIN,358,1.8994021414447844
7QUT,DNA BINDING PROTEIN,1035,7YZ5,CELL CYCLE,504,1.899487115537292
7MIC,"VIRAL PROTEIN,HYDROLASE/SUBSTRATE",535,4EDW,IMMUNE SYSTEM,220,1.899526191516817
6ULV,TRANSCRIPTION/INHIBITOR,977,5TC3,OXIDOREDUCTASE,455,1.9002513378216208
8SKI,TRANSFERASE/DNA,804,6D5M,SIGNALING PROTEIN,426,1.9006648297705304
8E8B,TRANSFERASE/DNA,172,8QUG,TRANSFERASE,436,1.9008639364911548
6O5Z,TRANSFERASE/TRANSFERASE INHIBITOR,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,531,1.9012597787253895
8R79,LIGASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,240,1.901284102801442
7MFW,CELL ADHESION,424,4RJL,TRANSLATION,191,1.9014238326227637
7CFB,GENE REGULATION,182,1SVI,HYDROLASE,388,1.901941128159144
6S7X,NEUROPEPTIDE,698,2GF0,TRANSPORT PROTEIN,332,1.9019502275166096
8SKI,TRANSFERASE/DNA,179,1M7B,SIGNALING PROTEIN,426,1.9023087069717184
7PO9,TRANSCRIPTION,400,1KJZ,TRANSLATION,172,1.9023411685903784
8ADD,HYDROLASE,454,6ZQT,PROTEIN BINDING,209,1.9028843416988424
6TBN,BIOSYNTHETIC PROTEIN,887,5UBR,TRANSFERASE/TRANSFERASE REGULATOR,483,1.903306114510152
7CFB,GENE REGULATION,804,6D5M,SIGNALING PROTEIN,388,1.9034180328524408
8CIH,REPLICATION,183,1ZNY,TRANSFERASE,362,1.9036938729832191
8HTC,TRANSFERASE,621,4ZI2,HYDROLASE,290,1.9038607781936217
7YBX,TRANSFERASE/INHIBITOR,611,4GNL,LYASE,300,1.90403263843662
7AXF,NUCLEAR PROTEIN,602,7MDP,HYDROLASE/IMMUNE SYSTEM,267,1.9041799693252228
7ALT,SIGNALING PROTEIN,852,4ANV,TRANSFERASE,535,1.9041838175093515
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,611,4GNL,LYASE,300,1.904281483947404
8C6B,FLAVOPROTEIN,1035,6ZWB,CELL CYCLE,500,1.904705589254308
7LG3,IMMUNE SYSTEM/VIRAL PROTEIN,871,3BFK,HYDROLASE,394,1.904995925523025
6S7Y,NEUROPEPTIDE,684,8STM,ONCOPROTEIN,320,1.905081216403554
7BJS,TRANSPORT PROTEIN,399,4DHE,CELL CYCLE,198,1.905201775679502
7Q4I,TRANSFERASE,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,569,1.905263794164444
8B8Z,TRANSCRIPTION,1035,7YZ5,CELL CYCLE,528,1.9053811168233887
6UPR,STRUCTURAL PROTEIN,250,6RL4,PEPTIDE BINDING PROTEIN,543,1.90553540435456
6PYO,PROTEIN TRANSPORT,751,3U6B,TRANSLATION FACTOR/ANTIBIOTIC,318,1.905683386389457
7POK,TRANSCRIPTION,871,3BFK,HYDROLASE,372,1.9059060502360132
7KP1,IMMUNE SYSTEM,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",378,1.9059079568719657
6LTK,CHAPERONE,454,6ZQT,PROTEIN BINDING,208,1.9059698810762424
8OMK,SUGAR BINDING PROTEIN,296,5MHQ,CELL CYCLE/INHIBITOR,600,1.90604701861862
8C69,FLAVOPROTEIN,1035,6ZWB,CELL CYCLE,500,1.90615072538409
6THV,HYDROLASE,182,1SVI,HYDROLASE,381,1.9061678870616416
6XI4,CELL CYCLE,199,5TX4,TRANSFERASE/CYTOKINE,408,1.906246773628829
8C6C,FLAVOPROTEIN,1035,6ZWB,CELL CYCLE,500,1.9062789655599
8C1U,FLAVOPROTEIN,1035,6ZWB,CELL CYCLE,500,1.9062793358531225
8SKI,TRANSFERASE/DNA,182,3RZV,HYDROLASE,426,1.906368013549975
8C6A,FLAVOPROTEIN,1035,6ZWB,CELL CYCLE,500,1.9064160805557744
7F2X,SIGNALING PROTEIN,643,4YW9,LYASE,303,1.9065617381231577
7ALT,SIGNALING PROTEIN,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,535,1.9065990325524236
8G1Z,HYDROLASE/INHIBITOR,804,6D5M,SIGNALING PROTEIN,359,1.906630704929756
7AB8,SIGNALING PROTEIN,684,8STM,ONCOPROTEIN,311,1.9068154704679932
8UQB,TRANSFERASE,886,7XQL,TOXIN,408,1.9071050566641623
8DHH,OXIDOREDUCTASE/INHIBITOR,171,6T5V,SIGNALING PROTEIN,367,1.9072120211916208
7DB3,TRANSFERASE,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",450,1.9072342209138495
8IIZ,NUCLEAR PROTEIN,250,6RL4,PEPTIDE BINDING PROTEIN,525,1.907245016214284
8E8B,TRANSFERASE/DNA,199,5TX4,TRANSFERASE/CYTOKINE,436,1.9075804161729693
6PYO,PROTEIN TRANSPORT,698,2GF0,TRANSPORT PROTEIN,318,1.907665386856645
7AZT,LYASE,1035,6ZWB,CELL CYCLE,502,1.9078866783746984
6JLH,PROTEIN TRANSPORT,1171,6C5U,TRANSFERASE/ANTIBIOTIC,531,1.9080450426357565
7VNH,TRANSCRIPTION,454,6ZQT,PROTEIN BINDING,225,1.9080608282574096
8C6H,FLAVOPROTEIN,1035,6ZWB,CELL CYCLE,500,1.9081161689142323
7VNI,TRANSCRIPTION,162,1P2T,SIGNALING PROTEIN,433,1.908308951026364
6Z26,STRUCTURAL PROTEIN,792,6TA7,RNA BINDING PROTEIN,397,1.9086353945001564
6XI4,CELL CYCLE,183,1ZNY,TRANSFERASE,408,1.908763576303739
8C6F,FLAVOPROTEIN,1035,6ZWB,CELL CYCLE,500,1.9088991516769085
7CIU,TRANSFERASE,183,1ZNY,TRANSFERASE,415,1.9093812787191573
6VRO,HYDROLASE,161,4L9S,SIGNALING PROTEIN,334,1.9094354012172363
6K80,TRANSFERASE,454,6ZQT,PROTEIN BINDING,213,1.9095049671026088
7K2R,PROTEIN BINDING,1006,6S8L,STRUCTURAL PROTEIN,581,1.9097194644562092
6WSJ,HYDROLASE/HYDROLASE INHIBITOR,804,6D5M,SIGNALING PROTEIN,358,1.9097326720600003
7ALT,SIGNALING PROTEIN,168,3RSO,SIGNALING PROTEIN,535,1.9097491591277893
6YRQ,VIRAL PROTEIN,198,4LOF,APOPTOSIS,400,1.909901729318184
7DAZ,TRANSFERASE,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",457,1.9101231969353143
6V4E,APOPTOSIS,457,7G8E,CYTOSOLIC PROTEIN,204,1.910159935317837
6V4E,APOPTOSIS,122,4CUD,TRANSCRIPTION,204,1.910165417182704
8EWR,OXIDOREDUCTASE/INHIBITOR,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",447,1.9101965159570211
7JO7,CYTOSOLIC PROTEIN,772,1EFC,RNA BINDING PROTEIN,367,1.9102551285235656
6ELK,OXIDOREDUCTASE,168,1YZG,TRANSPORT PROTEIN,392,1.9103426521194675
6V4H,APOPTOSIS,457,7G8E,CYTOSOLIC PROTEIN,209,1.9105717757249012
7DOV,CYTOKINE,931,7AVU,PROTEIN BINDING,445,1.9105866965251248
8GM5,TRANSLATION/TRANSFERASE,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,555,1.910652752522744
6UPR,STRUCTURAL PROTEIN,246,2H2D,HYDROLASE,543,1.910666499876075
6XZJ,GENE REGULATION,533,6WGN,SIGNALING PROTEIN/INHIBITOR,245,1.9107798312591804
7Q4I,TRANSFERASE,296,5MHQ,CELL CYCLE/INHIBITOR,569,1.9109438118462323
6Z26,STRUCTURAL PROTEIN,179,1M7B,SIGNALING PROTEIN,397,1.9109500877364327
6ZW1,HYDROLASE,182,1SVI,HYDROLASE,380,1.910964795918532
6YRB,VIRAL PROTEIN,296,5MHQ,CELL CYCLE/INHIBITOR,199,1.910981182858253
6XDB,TRANSFERASE/TRANSFERASE INHIBITOR,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,404,1.9110869292872985
6XRO,HYDROLASE/HYDROLASE INHIBITOR,441,8DGO,SIGNALING PROTEIN,188,1.9110972862687612
8FDX,LIGASE,454,6ZQT,PROTEIN BINDING,202,1.911200780130504
7ALT,SIGNALING PROTEIN,172,8QUG,TRANSFERASE,535,1.911351805235597
6YRQ,VIRAL PROTEIN,182,6JIK,SIGNALING PROTEIN,400,1.911595297026334
7YB7,APOPTOSIS,743,4TMX,TRANSLATION,294,1.9118708369083317
8AK3,STRUCTURAL PROTEIN,670,3ZYC,HYDROLASE,298,1.9119144404389044
6HXV,STRUCTURAL PROTEIN,104,1O4C,SIGNALING PROTEIN,333,1.912340860026088
6YRB,VIRAL PROTEIN,298,1YKR,TRANSFERASE,199,1.912522467626037
7CQV,SIGNALING PROTEIN,457,7G8E,CYTOSOLIC PROTEIN,195,1.9125375753063496
6Q9M,EXOCYTOSIS,198,4LOF,APOPTOSIS,525,1.9125474588414568
8BJK,HYDROLASE,804,6D5M,SIGNALING PROTEIN,366,1.9125532452843488
6WYP,HYDROLASE,180,2GCN,SIGNALING PROTEIN,358,1.912558768636923
7APJ,SIGNALING PROTEIN,887,5UBR,TRANSFERASE/TRANSFERASE REGULATOR,502,1.912562651391209
8C6C,FLAVOPROTEIN,1035,7YZ5,CELL CYCLE,500,1.9130488773057388
6XDB,TRANSFERASE/TRANSFERASE INHIBITOR,183,1ZNY,TRANSFERASE,404,1.9133633649873765
7AZT,LYASE,1035,7YZ5,CELL CYCLE,502,1.913604487933548
8C6B,FLAVOPROTEIN,1035,7YZ5,CELL CYCLE,500,1.9138497446522664
7O2R,HYDROLASE,871,3BFK,HYDROLASE,357,1.91388042649944
6XYS,HYDROLASE,1171,6C5U,TRANSFERASE/ANTIBIOTIC,537,1.9139909892614837
7ME5,SIGNALING PROTEIN,292,2C6I,TRANSFERASE,153,1.9140608774119865
7CIU,TRANSFERASE,886,7XQL,TOXIN,415,1.9143196889862213
8C69,FLAVOPROTEIN,1035,7YZ5,CELL CYCLE,500,1.914396644991356
7E1T,PROTEIN TRANSPORT,171,6T5V,SIGNALING PROTEIN,403,1.914398257434177
7MIC,"VIRAL PROTEIN,HYDROLASE/SUBSTRATE",108,4F59,PROTEIN BINDING,220,1.914425590443025
8C6A,FLAVOPROTEIN,1035,7YZ5,CELL CYCLE,500,1.914825690073484
8FDY,TRANSFERASE,454,6ZQT,PROTEIN BINDING,201,1.9148601501963587
7JO7,CYTOSOLIC PROTEIN,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",367,1.915341250560141
7LZF,TRANSFERASE,108,4F59,PROTEIN BINDING,240,1.915342058856644
4IRR,TRANSFERASE,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,589,1.9153506674360132
6ELK,OXIDOREDUCTASE,171,6T5V,SIGNALING PROTEIN,392,1.9153538089078488
8C1U,FLAVOPROTEIN,1035,7YZ5,CELL CYCLE,500,1.9155500593857349
6S7F,HYDROLASE,246,2H2D,HYDROLASE,523,1.9156854177601148
6THV,HYDROLASE,871,3BFK,HYDROLASE,381,1.9157802043824943
7XUB,TRANSFERASE,1035,6ZWB,CELL CYCLE,538,1.9160946181996787
7CFB,GENE REGULATION,182,6JIK,SIGNALING PROTEIN,388,1.916164457253699
8D7P,TRANSFERASE/CIRCADIAN CLOCK PROTEIN,292,2C6I,TRANSFERASE,594,1.9163980084626504
6ULV,TRANSCRIPTION/INHIBITOR,887,5UBR,TRANSFERASE/TRANSFERASE REGULATOR,455,1.9164247005362296
7PV5,RNA BINDING PROTEIN,427,4IBY,DNA BINDING PROTEIN,159,1.916942047200925
8OMK,SUGAR BINDING PROTEIN,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,600,1.917219380345336
8C6H,FLAVOPROTEIN,1035,7YZ5,CELL CYCLE,500,1.9173669201841803
7PO9,TRANSCRIPTION,365,4XUL,TRANSFERASE,172,1.9176492389641704
8E8B,TRANSFERASE/DNA,171,6T5V,SIGNALING PROTEIN,436,1.917717938409058
7ULU,HYDROLASE,319,3LUI,PROTEIN TRANSPORT,550,1.9179553704633705
7JHD,TRANSCRIPTION,260,6SIP,PEPTIDE BINDING PROTEIN,467,1.9179845178119728
7BJS,TRANSPORT PROTEIN,457,7G8E,CYTOSOLIC PROTEIN,198,1.9180768817053595
6UPR,STRUCTURAL PROTEIN,249,7ULF,LIGASE,543,1.9182395837052884
6VFQ,CELL ADHESION,871,3BFK,HYDROLASE,425,1.9182584018281683
6S7F,HYDROLASE,249,7ULF,LIGASE,523,1.9185722581131488
8E8B,TRANSFERASE/DNA,183,1ZNY,TRANSFERASE,436,1.918682324922968
6ZW1,HYDROLASE,871,3BFK,HYDROLASE,380,1.918770654090909
7D86,GENE REGULATION,319,3LUI,PROTEIN TRANSPORT,185,1.9189487167826773
6S9F,SIGNALING PROTEIN,852,4ANV,TRANSFERASE,598,1.9189684341377304
8AK3,STRUCTURAL PROTEIN,674,1RDY,HYDROLASE,298,1.9193173507970425
6O5Z,TRANSFERASE/TRANSFERASE INHIBITOR,1035,7YZ5,CELL CYCLE,531,1.919352452732426
6KOJ,PROTEIN TRANSPORT,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,257,1.9193706636804224
